id,name,type1,type2,rarity,evolvesTo_id,evolve_atLevel,batalha,inteligencia,carisma,agilidade,resistencia,percepcao,total,gender_rate,chance_female_%,chance_male_%,minWildLevel
109,koffing,poison,,rare,110,6,26,22,29,17,20,28,142,4,50,50,1
110,weezing,poison,,rare,,,37,32,28,26,30,27,180,4,50,50,6
111,rhyhorn,ground,rock,uncommon,112,5,25,12,34,13,26,33,143,4,50,50,1
112,rhydon,ground,rock,uncommon,,,38,18,34,19,35,34,178,4,50,50,5
113,chansey,normal,,epic,,,10,27,40,22,50,21,170,8,100,0,3
114,tangela,grass,,uncommon,,,31,30,27,26,26,26,166,4,50,50,1
115,kangaskhan,normal,,epic,,,30,24,28,36,34,28,180,8,100,0,4
116,horsea,water,,common,117,3,20,20,26,26,12,26,130,4,50,50,1
117,seadra,water,,common,,,31,30,25,34,22,25,167,4,50,50,3
118,goldeen,water,,common,119,4,21,17,27,27,17,27,136,4,50,50,1
119,seaking,water,,common,,,31,30,27,28,27,27,170,4,50,50,4
120,staryu,water,,rare,121,5,21,26,24,34,14,23,142,-1,,,1
121,starmie,water,psychic,rare,,,35,39,21,45,26,21,187,-1,,,5
122,mr-mime,psychic,,epic,,,30,45,19,36,24,18,172,4,50,50,3
123,scyther,bug,flying,epic,,,34,27,27,41,27,26,182,4,50,50,3
124,jynx,ice,psychic,epic,,,29,44,19,38,22,19,171,8,100,0,3
125,electabuzz,electric,,epic,,,33,38,22,41,24,22,180,2,25,75,3
126,magmar,fire,,epic,,,36,39,23,37,24,22,181,2,25,75,3
127,pinsir,bug,,epic,,,38,25,29,34,28,28,182,4,50,50,3
128,tauros,normal,,epic,,,31,22,28,43,29,27,180,0,0,100,3
129,magikarp,water,,common,130,4,10,10,22,13,10,11,76,4,50,50,1
130,gyarados,water,flying,common,,,39,32,27,33,34,27,192,4,50,50,4
131,lapras,water,ice,epic,,,35,37,27,26,40,26,191,4,50,50,5
132,ditto,normal,,rare,,,18,20,27,21,15,27,128,-1,,,1
133,eevee,normal,,uncommon,"134,135,136",5,20,22,27,24,19,26,138,1,13,87,1
134,vaporeon,water,,uncommon,,,33,43,25,27,37,24,189,1,13,87,5
135,jolteon,electric,,uncommon,,,33,43,19,50,25,19,189,1,13,87,5
136,flareon,fire,,uncommon,,,43,42,25,27,27,25,189,1,13,87,5
137,porygon,normal,,epic,,,28,33,26,19,24,26,156,-1,,,2
138,omanyte,rock,water,rare,139,7,27,31,25,17,20,25,145,1,13,87,1
139,omastar,rock,water,rare,,,36,39,25,24,32,25,181,1,13,87,7
140,kabuto,rock,water,uncommon,141,7,28,21,28,24,17,27,145,1,13,87,1
141,kabutops,rock,water,uncommon,,,38,28,28,33,27,27,181,1,13,87,7
142,aerodactyl,rock,flying,epic,,,33,28,24,50,27,24,186,1,13,87,5
143,snorlax,normal,,epic,,,36,35,31,15,45,30,192,1,13,87,5
144,articuno,ice,flying,legend,,,39,45,16,34,38,31,203,-1,,,6
145,zapdos,electric,flying,legend,,,41,45,15,40,33,29,203,-1,,,6
146,moltres,fire,flying,legend,,,43,45,16,36,33,30,203,-1,,,6
147,dratini,dragon,,rare,148,5,21,21,19,22,14,34,131,4,50,50,1
148,dragonair,dragon,,rare,149,8,30,29,18,29,22,34,162,4,50,50,5
149,dragonite,dragon,flying,rare,,,47,42,18,33,35,33,208,4,50,50,8
150,mewtwo,psychic,,legend,,,49,50,15,50,36,28,228,-1,,,6
151,mew,psychic,,legend,,,41,42,31,40,37,17,208,-1,,,6
